δ_median,p_negative,rhat,n_orexin,ci_025,n_placebo,ci_75,p_positive,ci_975,metric,δ_mean,ess,ci_25,δ_std,n
0.26648238169250915,0.09675,1.0002807813914816,50,-0.14037366975621252,46,0.4013186913771671,0.90325,0.6684983664610696,PVT_mean_rt,0.26604071380366884,4998.864862176878,0.12722396423260868,0.2049171215350771,96
0.24948440219057497,0.105,1.0009773670531308,50,-0.13490885865436372,46,0.3861078842723463,0.895,0.6404221343776436,PVT_median_rt,0.2509099510524676,5200.72135163788,0.1152335892676442,0.19944630020025253,96
0.2244189638758668,0.128,1.001096307710254,51,-0.17063818392110264,46,0.3567183082196008,0.872,0.6193798970710556,DSST_correct,0.2234015735924807,4000.1187461856684,0.08919993135897952,0.19903907602777293,97
-0.22556789337374428,0.853125,1.0008335760560914,42,-0.6497337639360766,40,-0.0808794321209077,0.146875,0.20266882881775738,DigitSpan_forward,-0.22549009464638675,4575.314825990768,-0.36705073124503135,0.21673812542065032,82
-0.07169729108532266,0.6265,1.0008935894033983,42,-0.4958855049054678,40,0.07394517406675413,0.3735,0.35305404614961966,DigitSpan_backward,-0.07019042508131314,4696.704693238751,-0.21784113687819256,0.21711595441562465,82
-0.17816036287267006,0.7995,1.0010707017659757,42,-0.6175227114152768,40,-0.03267665079743449,0.2005,0.2365480232757069,DigitSpan_total,-0.18212717228326056,4515.897027496716,-0.3279514027581914,0.21842722820778027,82
0.285671754326695,0.068625,0.9999914458744705,52,-0.09829539123602876,46,0.42060610002725657,0.931375,0.6766359849057021,SSS_rating,0.28736499046432357,4270.389587792436,0.1524928875001294,0.197338838528951,98
0.20186054914266377,0.265,1.0037157543335962,17,-0.4587366229213612,17,0.41197573240984237,0.735,0.8286614554207012,Sleep_duration_h,0.19734691226111192,3941.389750738816,-0.016165525716274,0.3242667524369818,34
-0.15608409891312613,0.68275,1.000579088547881,17,-0.8032117180918248,17,0.06766269890259687,0.31725,0.49064524400519993,Sleep_efficiency,-0.1551906403320851,4693.176917982754,-0.37327858810859416,0.32888838751931904,34
0.26685820400832394,0.209375,1.0013322039944197,17,-0.3817513602815505,17,0.4960060627779018,0.790625,0.932977502586493,Sleep_deep_min,0.2676820373866163,4421.906312581309,0.04115576946085091,0.33316766654799496,34
0.2485867762142356,0.2195,1.001899605876905,17,-0.3795282182321437,17,0.4650729816818669,0.7805,0.8842338255009812,Sleep_rem_min,0.24875744281644413,5305.935370388889,0.03367690674917845,0.32534087128392536,34
0.7607284838982824,0.009,1.0126865799982565,17,0.1273495704498213,17,0.990032375398251,0.991,1.334426855831123,Sleep_wake_min,0.7529830098370637,1165.1690761104564,0.543749263425431,0.30866765146071345,34
