datetime,enjoyment,ejaculation
2023-04-03T23:00:00+02:00,0.4,,0
2023-04-07T00:15:00+02:00,0.35,,0
2023-04-23T17:00:00+02:00,0.3,,0
2023-04-23T22:30:00+02:00,0.5,,1
2023-04-25T22:10:00+02:00,0.7,,1
2023-05-03T23:00:00+02:00,0.4,,0
2023-05-07T00:15:00+02:00,0.35,,0
2023-05-10T00:15:00+02:00,0.6,,1
2023-05-15T00:30:00+02:00,0.5,,0
2023-05-17T01:10:00+02:00,0.65,,1
2023-05-24T22:00:00+02:00,0.8,,0
2023-06-10T22:00:00+02:00,0.45,,1
2023-06-10T23:00:00+02:00,0.65,,1
2023-07-15T22:10:00+02:00,0.45,0.5,1
2023-07-26T00:30:00+02:00,0.25,,1
2023-08-05T00:40:00+02:00,0.5,,0
2023-08-05T14:00:00+02:00,0.65,,1
2023-08-17T00:30:00+02:00,0.7,,1
2023-08-30T00:01:00+02:00,0.6,,1
2023-09-05T23:30:00+02:00,0.5,,1
